officer_id,allegation_id
13617,C132885
23618,C149900
3049,C151502
5124,C152222
5383,C157296
31597,C181899
23718,1085148
8556,1088021
14712,1088673
23404,1088873
13606,1005033
15762,1007584
17834,1008522
3869,1009827
8578,1011342
3753,1016722
8153,1024185
32208,1014062
31536,1014396
28416,1014639
9813,1014809
10697,1016069
9773,1016351
11514,1017866
18714,1018483
12617,1018585
3690,1019987
3897,1020073
8176,1021148
17830,1021198
24261,1021870
5066,1022099
18295,1022542
16043,1022748
16175,1022944
10363,1023112
12333,1024079
9309,1024108
19103,1024775
13111,1025549
19438,1025931
14646,1028094
21516,1028711
25864,1028927
6747,1030141
3443,1030424
16125,1030575
1716,1031001
23205,1031792
3443,1033626
23361,1034643
30804,1035903
25685,1036375
23975,1036768
14691,1036887
13460,1037853
448,1038215
11246,1038732
20056,1039210
22640,1039400
9072,1039603
12038,1039797
9460,1039849
16669,1040124
9460,1042043
30366,1042143
31756,1042791
24151,1043854
10534,1044492
21210,1045912
20809,1046011
14440,1047689
1696,1047905
8484,1047973
22731,1048297
29856,1048510
29180,1049655
31923,1050325
12479,1052940
2388,1055983
25965,1051363
19407,1052141
191,1053507
4278,1053605
5957,1053667
18393,1053767
32061,1053874
13091,1054140
22604,1054738
12426,1055490
476,1056170
736,1056741
32049,1057111
25380,1057444
4299,1057789
15920,1058521
30460,1058889
19834,1059882
5330,1061230
14725,1061712
27874,1062192
29768,1063975
32272,1064199
4368,1064413
18557,1065079
2852,1065148
17087,1067064
22478,1067223
22176,1067603
3793,1068152
9569,1069209
28958,1069800
29072,1070239
25191,1070427
30217,1070572
25799,1071477
25108,1071519
8861,1071609
31448,1072375
6922,1072606
18527,1072699
29205,1072962
25565,1074496
14739,1075457
11822,1075838
3425,1075972
7864,1076078
22540,1076177
54,1076612
23331,1077320
22738,1078805
32389,1079287
31473,1079541
20678,1079982
4138,C170725
11594,C170812
25975,C171100
30004,C171600
28477,C171639
14127,C171652
20132,C171736
15682,C171753
2941,C171969
21972,C172203
22356,C172266
22062,C172448
11680,C172615
6400,C172914
19774,C173432
17682,C179609
26820,C179743
1300,C179770
20379,C179945
22860,C180161
14984,C181150
7470,C181272
2808,C181338
26160,C181401
15380,C181469
11396,C181605
13517,C181623
6503,C181683
11770,C181830
607,C181996
19677,C182338
10475,C182520
13208,C182942
22147,C182978
15238,C183428
15588,C183853
25157,C183891
19200,C184155
23936,C184284
3286,C184450
31318,C185283
10351,C185384
7174,C185475
1067,C185534
1328,C185676
23047,C185856
6020,C185977
20749,C186076
2383,C186510
16894,C186624
27210,C186739
12284,C186811
7410,C186876
1871,C187001
7698,C187045
24219,C187222
20502,C187353
24952,C187428
1575,C187844
10096,C188001
13956,C188067
24290,C188122
26719,C188179
30299,C188341
22015,C188521
14207,C188696
15426,C188726
6393,C189296
27315,C189338
16358,C189478
2437,C189539
26049,C190288
22415,C190878
6800,C190959
26148,C191115
12723,C191360
6140,C191684
7655,C191733
31606,C191881
13667,C192079
178,C192149
18050,C192169
23850,C192223
31700,C192296
19732,C192442
24493,C192900
20573,C192982
13758,C193004
32529,C193205
31995,C193749
30534,C193797
16259,C193861
27125,C195133
15816,C195468
105,C195749
25987,C195870
24256,C195961
30530,C196097
12788,C196280
17043,C196726
12409,C196792
16734,C196919
7662,C196997
23269,C197179
14384,C197239
13623,C197417
29327,C197760
9341,C197950
28571,C197994
26286,C198088
508,C198129
9582,C198183
258,C198278
29766,C198640
1004,C198729
26711,C198796
903,C199111
3637,C199191
7596,C199312
2448,C199400
30511,C199495
24579,C199679
22382,C199911
13401,C200274
23056,C200486
22613,C200544
1773,C200786
13693,C200806
22428,C200937
6768,C201090
6035,C201095
14493,C201359
20719,C201492
856,C201656
21113,C201754
13644,C201873
30121,C201995
21389,C202185
27911,C202467
9971,C202534
14313,C202991
17227,C203623
23188,C203718
2046,C203757
7097,C204152
19030,C204301
29388,C205534
11760,C205609
11139,C205756
15479,C205901
17197,C206284
20180,C206498
13693,C206554
29109,C206799
17426,C206998
16538,C207359
26006,C207879
15502,C207896
12263,C208473
25376,C208509
100,C208600
4328,C208633
10832,C208801
23945,C208936
926,C209057
21724,C209299
15057,C209671
30259,C209817
28991,C210006
2825,C210317
15140,C210385
3309,C210545
16341,C210600
24847,C210885
26613,C210902
21543,C211054
6929,C211113
22183,C211128
17587,C211203
926,C211766
31464,C211993
682,C212072
23135,C212113
2825,C212472
2402,C213339
7826,C213489
31530,C213655
32173,C213784
28348,C213807
29892,C214124
25459,C214360
30693,C214756
22823,C214819
29278,C214946
4070,C215383
7251,C215782
21176,C216660
18149,C216880
3757,C217115
31033,C217180
20822,C217245
4393,C217333
30951,C217382
13504,C217557
10338,C217576
26856,C217945
3913,C218214
9346,C218431
24280,C218809
9234,C219174
14653,C219532
6635,C219752
14573,C220035
14256,C220519
20312,C220546
30814,C220818
1762,C220920
30979,C221055
27215,C221222
24406,C221322
24862,C221561
23945,C221888
19023,C222052
